Year,Count,Kimarite,Filename
1983,1764,yorikiri,1983.csv
1983,810,oshidashi,1983.csv
1983,372,hatakikomi,1983.csv
1983,358,uwatenage,1983.csv
1983,320,yoritaoshi,1983.csv
1983,296,tsukiotoshi,1983.csv
1983,188,hikiotoshi,1983.csv
1983,164,sukuinage,1983.csv
1983,146,shitatenage,1983.csv
1983,116,oshitaoshi,1983.csv
1984,1990,yorikiri,1984.csv
1984,880,oshidashi,1984.csv
1984,344,hatakikomi,1984.csv
1984,332,uwatenage,1984.csv
1984,310,yoritaoshi,1984.csv
1984,264,tsukiotoshi,1984.csv
1984,224,hikiotoshi,1984.csv
1984,188,sukuinage,1984.csv
1984,144,shitatenage,1984.csv
1984,128,kotenage,1984.csv
1985,1988,yorikiri,1985.csv
1985,854,oshidashi,1985.csv
1985,348,uwatenage,1985.csv
1985,348,hatakikomi,1985.csv
1985,304,tsukiotoshi,1985.csv
1985,250,yoritaoshi,1985.csv
1985,198,hikiotoshi,1985.csv
1985,178,sukuinage,1985.csv
1985,152,tsukidashi,1985.csv
1985,120,shitatenage,1985.csv
1986,2010,yorikiri,1986.csv
1986,814,oshidashi,1986.csv
1986,384,hatakikomi,1986.csv
1986,354,uwatenage,1986.csv
1986,252,tsukidashi,1986.csv
1986,246,tsukiotoshi,1986.csv
1986,228,yoritaoshi,1986.csv
1986,168,hikiotoshi,1986.csv
1986,162,shitatenage,1986.csv
1986,136,sukuinage,1986.csv
1987,2002,yorikiri,1987.csv
1987,964,oshidashi,1987.csv
1987,402,hatakikomi,1987.csv
1987,304,uwatenage,1987.csv
1987,282,tsukiotoshi,1987.csv
1987,258,yoritaoshi,1987.csv
1987,182,hikiotoshi,1987.csv
1987,166,tsukidashi,1987.csv
1987,156,shitatenage,1987.csv
1987,124,sukuinage,1987.csv
1988,2014,yorikiri,1988.csv
1988,830,oshidashi,1988.csv
1988,402,uwatenage,1988.csv
1988,368,hatakikomi,1988.csv
1988,314,tsukiotoshi,1988.csv
1988,206,yoritaoshi,1988.csv
1988,176,okuridashi,1988.csv
1988,164,shitatenage,1988.csv
1988,164,sukuinage,1988.csv
1988,162,hikiotoshi,1988.csv
1989,2042,yorikiri,1989.csv
1989,854,oshidashi,1989.csv
1989,380,uwatenage,1989.csv
1989,342,hatakikomi,1989.csv
1989,278,tsukiotoshi,1989.csv
1989,198,yoritaoshi,1989.csv
1989,190,hikiotoshi,1989.csv
1989,190,shitatenage,1989.csv
1989,158,okuridashi,1989.csv
1989,158,sukuinage,1989.csv
1990,2062,yorikiri,1990.csv
1990,898,oshidashi,1990.csv
1990,406,uwatenage,1990.csv
1990,318,tsukiotoshi,1990.csv
1990,298,hatakikomi,1990.csv
1990,216,yoritaoshi,1990.csv
1990,178,hikiotoshi,1990.csv
1990,174,okuridashi,1990.csv
1990,168,sukuinage,1990.csv
1990,160,shitatenage,1990.csv
1991,1916,yorikiri,1991.csv
1991,936,oshidashi,1991.csv
1991,402,uwatenage,1991.csv
1991,320,hatakikomi,1991.csv
1991,258,tsukiotoshi,1991.csv
1991,252,yoritaoshi,1991.csv
1991,214,shitatenage,1991.csv
1991,210,okuridashi,1991.csv
1991,164,oshitaoshi,1991.csv
1991,144,sukuinage,1991.csv
1992,1640,yorikiri,1992.csv
1992,1022,oshidashi,1992.csv
1992,488,uwatenage,1992.csv
1992,360,hatakikomi,1992.csv
1992,334,yoritaoshi,1992.csv
1992,238,tsukiotoshi,1992.csv
1992,204,shitatenage,1992.csv
1992,202,hikiotoshi,1992.csv
1992,164,okuridashi,1992.csv
1992,160,sukuinage,1992.csv
1993,1712,yorikiri,1993.csv
1993,1094,oshidashi,1993.csv
1993,438,hatakikomi,1993.csv
1993,434,uwatenage,1993.csv
1993,290,yoritaoshi,1993.csv
1993,234,tsukiotoshi,1993.csv
1993,190,shitatenage,1993.csv
1993,188,okuridashi,1993.csv
1993,180,hikiotoshi,1993.csv
1993,176,oshitaoshi,1993.csv
1994,1824,yorikiri,1994.csv
1994,988,oshidashi,1994.csv
1994,458,uwatenage,1994.csv
1994,446,hatakikomi,1994.csv
1994,266,yoritaoshi,1994.csv
1994,228,tsukiotoshi,1994.csv
1994,224,okuridashi,1994.csv
1994,212,hikiotoshi,1994.csv
1994,174,shitatenage,1994.csv
1994,130,kotenage,1994.csv
1995,1774,yorikiri,1995.csv
1995,928,oshidashi,1995.csv
1995,498,uwatenage,1995.csv
1995,460,hatakikomi,1995.csv
1995,280,okuridashi,1995.csv
1995,258,tsukiotoshi,1995.csv
1995,228,yoritaoshi,1995.csv
1995,178,hikiotoshi,1995.csv
1995,166,shitatenage,1995.csv
1995,146,tsukidashi,1995.csv
1996,1838,yorikiri,1996.csv
1996,958,oshidashi,1996.csv
1996,510,uwatenage,1996.csv
1996,382,hatakikomi,1996.csv
1996,292,tsukiotoshi,1996.csv
1996,238,okuridashi,1996.csv
1996,216,yoritaoshi,1996.csv
1996,158,shitatenage,1996.csv
1996,158,hikiotoshi,1996.csv
1996,142,oshitaoshi,1996.csv
1997,1582,yorikiri,1997.csv
1997,892,oshidashi,1997.csv
1997,516,hatakikomi,1997.csv
1997,408,uwatenage,1997.csv
1997,288,tsukiotoshi,1997.csv
1997,282,hikiotoshi,1997.csv
1997,210,okuridashi,1997.csv
1997,204,yoritaoshi,1997.csv
1997,180,shitatenage,1997.csv
1997,154,oshitaoshi,1997.csv
1998,1656,yorikiri,1998.csv
1998,1094,oshidashi,1998.csv
1998,456,hatakikomi,1998.csv
1998,354,uwatenage,1998.csv
1998,350,tsukiotoshi,1998.csv
1998,266,hikiotoshi,1998.csv
1998,218,okuridashi,1998.csv
1998,200,yoritaoshi,1998.csv
1998,166,tsukidashi,1998.csv
1998,158,oshitaoshi,1998.csv
1999,1644,yorikiri,1999.csv
1999,1136,oshidashi,1999.csv
1999,496,hatakikomi,1999.csv
1999,306,tsukiotoshi,1999.csv
1999,302,uwatenage,1999.csv
1999,238,hikiotoshi,1999.csv
1999,224,okuridashi,1999.csv
1999,182,yoritaoshi,1999.csv
1999,148,oshitaoshi,1999.csv
1999,144,shitatenage,1999.csv
2000,1556,yorikiri,2000.csv
2000,1166,oshidashi,2000.csv
2000,486,hatakikomi,2000.csv
2000,302,tsukiotoshi,2000.csv
2000,256,yoritaoshi,2000.csv
2000,254,uwatenage,2000.csv
2000,240,hikiotoshi,2000.csv
2000,222,okuridashi,2000.csv
2000,182,oshitaoshi,2000.csv
2000,136,sukuinage,2000.csv
2001,1308,yorikiri,2001.csv
2001,1182,oshidashi,2001.csv
2001,466,hatakikomi,2001.csv
2001,332,hikiotoshi,2001.csv
2001,302,uwatenage,2001.csv
2001,296,tsukiotoshi,2001.csv
2001,200,yoritaoshi,2001.csv
2001,188,okuridashi,2001.csv
2001,186,oshitaoshi,2001.csv
2001,136,sukuinage,2001.csv
2002,1280,yorikiri,2002.csv
2002,1244,oshidashi,2002.csv
2002,404,hatakikomi,2002.csv
2002,342,hikiotoshi,2002.csv
2002,324,tsukiotoshi,2002.csv
2002,266,uwatenage,2002.csv
2002,232,yoritaoshi,2002.csv
2002,184,okuridashi,2002.csv
2002,160,oshitaoshi,2002.csv
2002,146,tsukidashi,2002.csv
2003,1342,yorikiri,2003.csv
2003,1254,oshidashi,2003.csv
2003,410,hatakikomi,2003.csv
2003,388,hikiotoshi,2003.csv
2003,298,uwatenage,2003.csv
2003,284,tsukiotoshi,2003.csv
2003,216,yoritaoshi,2003.csv
2003,198,okuridashi,2003.csv
2003,190,oshitaoshi,2003.csv
2003,126,sukuinage,2003.csv
2004,1684,yorikiri,2004.csv
2004,1288,oshidashi,2004.csv
2004,490,hatakikomi,2004.csv
2004,382,hikiotoshi,2004.csv
2004,286,uwatenage,2004.csv
2004,280,tsukiotoshi,2004.csv
2004,230,okuridashi,2004.csv
2004,218,yoritaoshi,2004.csv
2004,168,oshitaoshi,2004.csv
2004,150,sukuinage,2004.csv
2005,1502,yorikiri,2005.csv
2005,1316,oshidashi,2005.csv
2005,518,hatakikomi,2005.csv
2005,424,hikiotoshi,2005.csv
2005,336,tsukiotoshi,2005.csv
2005,322,uwatenage,2005.csv
2005,202,okuridashi,2005.csv
2005,192,yoritaoshi,2005.csv
2005,152,sukuinage,2005.csv
2005,144,oshitaoshi,2005.csv
2006,1614,yorikiri,2006.csv
2006,1396,oshidashi,2006.csv
2006,520,hatakikomi,2006.csv
2006,370,hikiotoshi,2006.csv
2006,348,tsukiotoshi,2006.csv
2006,324,uwatenage,2006.csv
2006,240,yoritaoshi,2006.csv
2006,232,okuridashi,2006.csv
2006,176,oshitaoshi,2006.csv
2006,144,sukuinage,2006.csv
2007,1600,yorikiri,2007.csv
2007,1168,oshidashi,2007.csv
2007,568,hatakikomi,2007.csv
2007,380,hikiotoshi,2007.csv
2007,344,tsukiotoshi,2007.csv
2007,302,uwatenage,2007.csv
2007,262,yoritaoshi,2007.csv
2007,216,okuridashi,2007.csv
2007,170,sukuinage,2007.csv
2007,164,oshitaoshi,2007.csv
2008,1786,yorikiri,2008.csv
2008,1192,oshidashi,2008.csv
2008,480,hatakikomi,2008.csv
2008,422,hikiotoshi,2008.csv
2008,340,tsukiotoshi,2008.csv
2008,302,uwatenage,2008.csv
2008,222,yoritaoshi,2008.csv
2008,184,okuridashi,2008.csv
2008,174,oshitaoshi,2008.csv
2008,154,sukuinage,2008.csv
2009,1784,yorikiri,2009.csv
2009,1120,oshidashi,2009.csv
2009,468,hikiotoshi,2009.csv
2009,444,hatakikomi,2009.csv
2009,402,uwatenage,2009.csv
2009,358,tsukiotoshi,2009.csv
2009,242,yoritaoshi,2009.csv
2009,236,okuridashi,2009.csv
2009,172,sukuinage,2009.csv
2009,150,shitatenage,2009.csv
2010,1688,yorikiri,2010.csv
2010,1088,oshidashi,2010.csv
2010,472,hatakikomi,2010.csv
2010,420,hikiotoshi,2010.csv
2010,338,uwatenage,2010.csv
2010,306,tsukiotoshi,2010.csv
2010,266,yoritaoshi,2010.csv
2010,210,oshitaoshi,2010.csv
2010,182,okuridashi,2010.csv
2010,176,sukuinage,2010.csv
2011,1240,yorikiri,2011.csv
2011,1032,oshidashi,2011.csv
2011,374,hatakikomi,2011.csv
2011,312,hikiotoshi,2011.csv
2011,282,tsukiotoshi,2011.csv
2011,276,uwatenage,2011.csv
2011,238,yoritaoshi,2011.csv
2011,144,oshitaoshi,2011.csv
2011,130,sukuinage,2011.csv
2011,114,okuridashi,2011.csv
2012,1408,yorikiri,2012.csv
2012,1378,oshidashi,2012.csv
2012,522,hatakikomi,2012.csv
2012,378,tsukiotoshi,2012.csv
2012,322,hikiotoshi,2012.csv
2012,292,uwatenage,2012.csv
2012,252,yoritaoshi,2012.csv
2012,192,oshitaoshi,2012.csv
2012,184,sukuinage,2012.csv
2012,178,okuridashi,2012.csv
2013,1584,yorikiri,2013.csv
2013,1306,oshidashi,2013.csv
2013,514,hatakikomi,2013.csv
2013,340,uwatenage,2013.csv
2013,338,tsukiotoshi,2013.csv
2013,250,hikiotoshi,2013.csv
2013,200,yoritaoshi,2013.csv
2013,196,oshitaoshi,2013.csv
2013,192,tsukidashi,2013.csv
2013,186,okuridashi,2013.csv
2014,1752,yorikiri,2014.csv
2014,1250,oshidashi,2014.csv
2014,564,hatakikomi,2014.csv
2014,324,tsukiotoshi,2014.csv
2014,294,uwatenage,2014.csv
2014,222,yoritaoshi,2014.csv
2014,196,tsukidashi,2014.csv
2014,192,hikiotoshi,2014.csv
2014,162,oshitaoshi,2014.csv
2014,160,okuridashi,2014.csv
2015,1838,yorikiri,2015.csv
2015,1346,oshidashi,2015.csv
2015,502,hatakikomi,2015.csv
2015,358,tsukiotoshi,2015.csv
2015,256,uwatenage,2015.csv
2015,218,hikiotoshi,2015.csv
2015,210,tsukidashi,2015.csv
2015,184,yoritaoshi,2015.csv
2015,174,okuridashi,2015.csv
2015,150,oshitaoshi,2015.csv
2016,1692,yorikiri,2016.csv
2016,1366,oshidashi,2016.csv
2016,510,hatakikomi,2016.csv
2016,388,tsukiotoshi,2016.csv
2016,258,uwatenage,2016.csv
2016,256,hikiotoshi,2016.csv
2016,210,tsukidashi,2016.csv
2016,192,yoritaoshi,2016.csv
2016,174,oshitaoshi,2016.csv
2016,166,okuridashi,2016.csv
2017,1702,yorikiri,2017.csv
2017,1298,oshidashi,2017.csv
2017,560,hatakikomi,2017.csv
2017,412,tsukiotoshi,2017.csv
2017,264,hikiotoshi,2017.csv
2017,244,uwatenage,2017.csv
2017,188,yoritaoshi,2017.csv
2017,184,okuridashi,2017.csv
2017,162,oshitaoshi,2017.csv
2017,150,tsukidashi,2017.csv
2018,1614,yorikiri,2018.csv
2018,1468,oshidashi,2018.csv
2018,538,hatakikomi,2018.csv
2018,386,tsukiotoshi,2018.csv
2018,280,hikiotoshi,2018.csv
2018,262,uwatenage,2018.csv
2018,196,tsukidashi,2018.csv
2018,184,oshitaoshi,2018.csv
2018,160,yoritaoshi,2018.csv
2018,132,sukuinage,2018.csv
2019,1280,yorikiri,2019.csv
2019,1226,oshidashi,2019.csv
2019,510,hatakikomi,2019.csv
2019,302,tsukiotoshi,2019.csv
2019,216,uwatenage,2019.csv
2019,188,hikiotoshi,2019.csv
2019,174,tsukidashi,2019.csv
2019,146,oshitaoshi,2019.csv
2019,134,okuridashi,2019.csv
2019,126,yoritaoshi,2019.csv
